total_distance,epsilon_required,num_pairs,src_len,trg_len
48,7,23,25,24
59,5,40,45,44
53,32,50,54,54
35,4,23,22,25
106,10,45,50,51
89,27,59,58,73
51,13,28,32,29
43,5,54,56,58
83,9,28,35,31
11,3,27,25,27
21,6,40,37,44
30,6,30,34,32
28,9,17,21,17
32,5,21,21,21
18,3,13,15,14
1,1,7,5,7
10,2,13,15,13
0,0,18,16,18
15,4,8,10,8
4,2,5,6,5
30,6,10,14,11
118,13,31,38,34
93,10,30,33,32
70,11,18,23,19
16,9,14,15,14
37,6,19,23,19
57,12,19,24,21
382,23,35,56,38
2,1,7,8,7
9,2,30,23,30
1,1,19,15,21
59,12,34,37,35
8,4,6,10,6
39,5,15,17,15
194,12,35,43,35
42,6,16,18,16
18,4,19,17,20
296,13,46,56,48
12,2,54,51,58
87,16,22,27,23
20,5,34,33,37
19,5,17,16,17
30,6,46,43,47
2,1,14,14,14
10,4,10,12,10
14,2,17,18,17
0,0,6,6,6
22,3,64,56,66
2,1,21,16,21
2,1,10,8,10
22,4,12,14,12
90,9,29,39,31
2,2,11,9,11
9,2,12,14,12
7,3,13,16,13
6,3,43,40,43
1,1,5,6,6
3,2,16,14,16
6,3,16,17,18
373,47,136,160,165
5,5,23,14,24
90,23,37,40,39
42,9,43,46,50
30,9,36,37,36
20,8,15,15,17
8,6,27,23,28
14,2,22,23,22
233,16,43,52,44
57,7,28,32,31
140,12,53,56,69
205,27,9,37,12
32,6,26,26,26
434,38,86,94,97
143,13,60,78,70
406,27,65,81,78
7,2,37,32,40
74,8,13,19,13
8,2,19,17,19
89,9,18,27,18
97,32,50,45,54
49,10,38,41,42
54,14,33,33,33
25,6,23,21,23
4,2,38,33,39
219,17,34,43,34
5,3,24,21,27
28,7,29,22,31
72,8,22,27,24
114,7,31,33,33
1,1,10,9,10
0,0,20,18,20
186,16,32,37,32
44,7,29,26,29
47,7,17,17,17
5,2,31,25,31
71,9,18,24,18
9,5,26,22,26
45,7,20,17,20
39,4,41,40,43
